config_id,symbol,signal_timeframe,execution_timeframe,base_signal_variant,stop_multiplier,target_multiplier,entry_delay_minutes,filter_name,filter_params_json,family
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm2p50_d30_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm2p50_d30_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm2p50_d30_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm2p50_d30_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm2p50_d30_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d5_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d5_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d5_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d5_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d5_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d5_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d15_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d15_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d15_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d30_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d30_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d30_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d5_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d5_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d5_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d15_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d15_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d15_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d15_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d15_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d15_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d30_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d30_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d30_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d30_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d30_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d30_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d30_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d30_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p00_d30_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d5_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d5_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d5_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d5_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d5_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d5_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d15_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d15_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d15_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d15_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d15_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d15_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d30_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d30_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d30_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d30_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d30_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d30_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d30_aw10_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d30_aw10_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm2p50_d30_aw10_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 10, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm3p00_d5_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm3p00_d5_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm3p00_d5_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm3p00_d5_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm3p00_d5_aw5_mt12,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",delay_adverse_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm3p00_d5_aw5_mt16,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",delay_adverse_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm3p00_d15_sz0p50,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm3p00_d15_sz0p75,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",delay_stop_zone_filter
mnq_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm3p00_d15_sz1p00,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",delay_stop_zone_filter
mnq_15min_avoid_immediate_adverse_move_sm1p00_tm3p00_d15_aw5_mt8,MNQ,15min,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",delay_adverse_filter
